product_name,product_id,price_id,amount,currency,payment_link_url
Structural Integrity,prod_US9HbsQMutx5Vd,price_1TTEzHHb9mVEJOcYHdiBfs9g,349.0,usd,https://pay.codexlitigation.org/b/5kQfZheF17M9gVGgAofbA1D
Operational Sovereignty,prod_US9H8W0K5JNXzo,price_1TTEzHHb9mVEJOcYkpFyyfPw,349.0,usd,https://pay.codexlitigation.org/b/cNibJ19kH5E19te4RGfbA1E
Clarity Under Pressure,prod_US9Hq6kfnOeOJm,price_1TTEzGHb9mVEJOcYruppkmiv,349.0,usd,https://pay.codexlitigation.org/b/7sY4gz40n6I57l697WfbA1F
Monthly Strategic Reset,prod_US9H33m1DoTu2e,price_1TTEzGHb9mVEJOcYexB3t0pu,349.0,usd,https://pay.codexlitigation.org/b/bJe4gzeF19Uh7l6docfbA1G
Weekly Alignment Ritual,prod_US9HrupUQsGg7O,price_1TTEzGHb9mVEJOcYBmddPtzM,349.0,usd,https://pay.codexlitigation.org/b/3cIeVd9kH5E15cYac0fbA1H
Daily Clarity Ritual,prod_US9HJIw7CcxHhV,price_1TTEzGHb9mVEJOcYTQQS9mlR,349.0,usd,https://pay.codexlitigation.org/b/28EfZheF1aYl0WIac0fbA1I
Temporal Alignment System,prod_US9HFWb5LybqJd,price_1TTEzGHb9mVEJOcYudB7myYh,1499.0,usd,https://pay.codexlitigation.org/b/dRm5kD9kH6I5eNyfwkfbA1J
Structural Synchronization System,prod_US9Hwa7MRJWgji,price_1TTEzGHb9mVEJOcYteFOw3BS,1499.0,usd,https://pay.codexlitigation.org/b/00w3cv2WjfeB20M1FufbA1K
Execution Stabilization System,prod_US9HYOJo0giR1I,price_1TTEzFHb9mVEJOcYHBg82zi8,1499.0,usd,https://pay.codexlitigation.org/b/8x25kDcwT8Qd20M2JyfbA1L
Systems Integrity Scroll,prod_US9HcokwhZPsZT,price_1TTEzFHb9mVEJOcY1YGtHzUU,1499.0,usd,https://pay.codexlitigation.org/b/3cIdR9eF18QdfRC5VKfbA1M
Operational Cohesion Scroll,prod_US9HTlbDNJEIyv,price_1TTEzFHb9mVEJOcYmMpNi0ZF,1499.0,usd,https://pay.codexlitigation.org/b/fZuaEX54r0jH6h2bg4fbA1N
Strategic Command Layer,prod_US9HI8ofTsW32M,price_1TTEzFHb9mVEJOcYflxUN0MX,1499.0,usd,https://pay.codexlitigation.org/b/9B69AT54r3vT6h2esgfbA1O
High-Clarity Decision Protocol,prod_US9HpxKQzauqBN,price_1TTEzFHb9mVEJOcY48yDvYHT,1499.0,usd,https://pay.codexlitigation.org/b/fZu3cvaoL9UhaxigAofbA1P
Codex Founder Stabilization Framework — Codex Scroll (v1),prod_URrAHQAVAglBPx,price_1TSxRiHb9mVEJOcYyX328sM9,149.0,usd,https://pay.codexlitigation.org/b/eVq9AT9kH5E16h20BqfbA1Q
Founder Momentum Engine — Codex Scroll (v1),prod_URr1amosk3cHfa,price_1TSxJ2Hb9mVEJOcY0jdWDAZI,149.0,usd,https://pay.codexlitigation.org/b/5kQdR940n4zX7l66ZOfbA1R
Founder State Calibration Manual — Codex Scroll (v1),prod_URqqE18H1UWtN7,price_1TSx8kHb9mVEJOcY06oRWvvL,149.0,usd,https://pay.codexlitigation.org/b/8x2dR9aoL3vTgVGbg4fbA1S
Signal‑Aligned Content Engine — Codex Scroll (v1),prod_URqhsnE5uCSffE,price_1TSwzdHb9mVEJOcYxiKXgwL5,149.0,usd,https://pay.codexlitigation.org/b/3cIeVdcwT0jH7l6ck8fbA1T
Founder Load‑Reduction Protocol — Codex Scroll (v1),prod_URqX7JHkQ1Bqjo,price_1TSwqbHb9mVEJOcYeOR5Ge20,149.0,usd,https://pay.codexlitigation.org/b/4gM8wP54r1nLaxibg4fbA1U
Product Lattice Manual — Codex Scroll (v1),prod_URqLlz662dhPXC,price_1TSwfEHb9mVEJOcY8OuCrfG8,149.0,usd,https://pay.codexlitigation.org/b/4gM00j68v2rPdJu3NCfbA1V
Semantic Cluster Playbook — Codex Scroll (v1),prod_URqFOpNAejKUF7,price_1TSwZTHb9mVEJOcYPboJa69a,149.0,usd,https://pay.codexlitigation.org/b/eVq14n9kH6I55cYac0fbA1W
Scroll‑Minting Protocol — Codex Scroll (v1),prod_URq6fgqy76OMSh,price_1TSwQQHb9mVEJOcYi41H1z2W,149.0,usd,https://pay.codexlitigation.org/b/cNi4gzbsPfeB6h2ac0fbA1X
Multi‑Surface Distribution Manual — Codex Scroll (v1),prod_URpqODmVuiwwCW,price_1TSwBAHb9mVEJOcYFiMrKvqc,149.0,usd,https://pay.codexlitigation.org/b/8x28wPfJ58QddJu4RGfbA1Y
Noise‑to‑Signal Diagnostic Pack — Codex Scroll (v1),prod_URpdkLIHriKuEX,price_1TSw3fHb9mVEJOcY9gBi2vWb,149.0,usd,https://pay.codexlitigation.org/b/8x228r54r6I5dJu3NCfbA1Z
Substrate Architecture Guide — Codex Scroll (v1),prod_URpU4iD9S8NlyY,price_1TSvpjHb9mVEJOcYHMREeKTX,149.0,usd,https://pay.codexlitigation.org/b/8x29ATbsP1nL7l6ck8fbA20
Ritual Loop Handbook — Codex Scroll (v1),prod_URpNqwoLwW6wTo,price_1TSviVHb9mVEJOcYC7cHxXVg,149.0,usd,https://pay.codexlitigation.org/b/dRm3cveF14zX5cYfwkfbA21
Operational Spine Scroll — Codex Scroll (v1),prod_URpGYWGtsXBuuu,price_1TSvcHHb9mVEJOcYJXtZktnq,149.0,usd,https://pay.codexlitigation.org/b/14A4gzgN96I5axifwkfbA22
Founder's Structural Decision Manual — Codex Scroll (v1),prod_URp9DAaeFOi12P,price_1TSvV9Hb9mVEJOcYHN8XhK4e,149.0,usd,https://pay.codexlitigation.org/b/cNiaEX54rc2paxibg4fbA23
Modern SEO Playbook — Codex Scroll (v1),prod_URp0Sgn2c8RLoR,price_1TSvMtHb9mVEJOcY2g5f3Rle,149.0,usd,https://pay.codexlitigation.org/b/eVq6oH7cz5E10WI83SfbA24
Custom Codex Scroll — Founder Commission (v1),prod_UQhpIcGK5cEiYr,price_1TRqYgHb9mVEJOcYmdGPyEhE,589.0,usd,https://pay.codexlitigation.org/b/6oU5kDgN92rPfRC0BqfbA25
Codex Labs OS — Reflex Stability Mesh Scroll (v1),prod_UQhZDUKvFG4spi,price_1TRqAKHb9mVEJOcYSm5CQRWc,589.0,usd,https://pay.codexlitigation.org/b/8x23cvcwTgiFbBmbg4fbA26
Codex Labs OS — Enterprise Ritual Loop Scroll (v1),prod_UQhSGNfMoggIax,price_1TRq3SHb9mVEJOcYeWNfleXJ,569.0,usd,https://pay.codexlitigation.org/b/6oUcN540n3vTcFq4RGfbA27
Codex Labs OS — Strategic Command Layer Scroll (v1),prod_UQhEEx8LKqoKXr,price_1TRpplHb9mVEJOcY3EHOBXGe,549.0,usd,https://pay.codexlitigation.org/b/14AcN5eF15E15cYdocfbA28
Codex Labs OS — High-Clarity Decision Protocol Scroll (v1),prod_UQgpEH3zedY6Wj,price_1TRpRqHb9mVEJOcYdp9IASMB,519.0,usd,https://pay.codexlitigation.org/b/7sYbJ168v6I56h2bg4fbA29
Codex Labs OS — Operational Cohesion Scroll (v1),prod_UQgeZRpn4qHtSa,price_1TRpGjHb9mVEJOcYOVe5LaTb,489.0,usd,https://pay.codexlitigation.org/b/5kQ7sLaoL0jHaxi0BqfbA2a
Codex Labs OS — Execution Stabilization Scroll (v1),prod_UQgVTjqxdwaM2t,price_1TRp8MHb9mVEJOcY7hzILGEh,459.0,usd,https://pay.codexlitigation.org/b/28E4gzbsPgiFeNyck8fbA2b
Codex Labs OS — Harmonic Systems Scroll (v1),prod_UQgNETIzCVsbYR,price_1TRp0gHb9mVEJOcYgdm2I59k,429.0,usd,https://pay.codexlitigation.org/b/eVqfZh68v7M99teac0fbA2c
Codex Labs OS — Temporal Alignment Scroll (v1),prod_UQftTdDRyKiP9x,price_1TRoXxHb9mVEJOcYo7hSPvSh,379.0,usd,https://pay.codexlitigation.org/b/fZu6oHeF16I534Q0BqfbA2d
Codex Labs OS — Structural Synchronization Scroll (v1),prod_UQfcN6DS8Lued2,price_1TRoGwHb9mVEJOcYlNCURjlt,399.0,usd,https://pay.codexlitigation.org/b/7sY3cveF1feB48U4RGfbA2e
Codex Labs OS — Systems Integrity Scroll (v1),prod_UQfS3wP9AIJJlc,price_1TRo7DHb9mVEJOcYfW1EoQ3f,349.0,usd,https://pay.codexlitigation.org/b/7sY5kD1Sf1nL34Q2JyfbA2f
DeerSafe — Premium Scroll (v1),prod_UQevbmV4056vJK,price_1TRnbvHb9mVEJOcYhbgY75AH,199.0,usd,https://pay.codexlitigation.org/b/aFa9AT2Wj5E148UesgfbA2g
DeerSafe — Early Access,prod_UQeYgtlPENBZXm,price_1TRnEvHb9mVEJOcYAKKAwccx,29.0,usd,https://pay.codexlitigation.org/b/eVq14ncwT5E1axibg4fbA2h
Codex Labs OS — Strategic Clarity Scroll (v1),prod_UQeQGzsmLNFuxq,price_1TRn7lHb9mVEJOcYdNSRj7K2,499.0,usd,https://pay.codexlitigation.org/b/bJebJ154raYlgVG4RGfbA2i
Codex Labs OS — Rapid Deployment Scroll (v1),prod_UQeD2wKLDfVQhL,price_1TRmvOHb9mVEJOcYs4OfJOmW,350.0,usd,https://pay.codexlitigation.org/b/cNi00jdAXd6tcFqfwkfbA2j
Codex Labs OS — Substrate Orientation Scroll (v1),prod_UQIHqGlqDY8iWJ,price_1TRRh6Hb9mVEJOcYPa7UtOIg,1499.0,usd,https://pay.codexlitigation.org/b/aFacN540n2rP5cYbg4fbA2k
Codex Labs OS — Substrate Alignment Scroll (v1),prod_UQI6zDQzwlD91B,price_1TRRWfHb9mVEJOcYlveyHqxp,1499.0,usd,https://pay.codexlitigation.org/b/5kQcN5eF1aYlaxi6ZOfbA2l
Codex Labs OS — Substrate Synchronization Scroll (v1),prod_UQHvmCHlykvufF,price_1TRRLBHb9mVEJOcYMTVjzB59,1499.0,usd,https://pay.codexlitigation.org/b/8x228r40n7M9dJufwkfbA2m
Codex Labs OS — Substrate Unification Scroll (v1),prod_UQHixc5pWfiL7g,price_1TRR90Hb9mVEJOcYreyn9WDS,1499.0,usd,https://pay.codexlitigation.org/b/9B69AT68vfeBcFq0BqfbA2n
Codex Labs OS — Substrate Integration Scroll (v1),prod_UQHPJ4DzlACJvG,price_1TRQqrHb9mVEJOcYfmgLFqc0,1499.0,usd,https://pay.codexlitigation.org/b/7sY3cveF18Qd7l6docfbA2o
Codex Labs OS — Substrate Coherence Scroll (v1),prod_UQHHbATfl0O362,price_1TRQjMHb9mVEJOcYU8EDkdaw,1499.0,usd,https://pay.codexlitigation.org/b/9B6fZh40n3vT34Q83SfbA2p
Codex Labs OS — Substrate Resonance Scroll (v1),prod_UQHCHkalh4lJhu,price_1TRQe8Hb9mVEJOcYmGULMv8n,1499.0,usd,https://pay.codexlitigation.org/b/dRm8wP1Sfeax6h2esgfbA2q
Codex Labs OS — Field Stabilization Scroll (v1),prod_UQH0bDJQbtxfcH,price_1TRQSEHb9mVEJOcYwNcxLfav,1499.0,usd,https://pay.codexlitigation.org/b/dRmcN5fJ57M96h2docfbA2r
Codex Labs OS — Substrate Binding Scroll (v1),prod_UQGneGNIqNQTed,price_1TRQGOHb9mVEJOcYqrm4s4UA,1499.0,usd,https://pay.codexlitigation.org/b/3cIfZh7czeax7l6esgfbA2s
Codex Labs OS — Unified Field Scroll (v1),prod_UQGhLofinc4GdE,price_1TRQA1Hb9mVEJOcYoAzNDPrv,1499.0,usd,https://pay.codexlitigation.org/b/14AfZhgN90jH6h2fwkfbA2t
Codex Labs OS — Systemic Coherence Scroll (v1),prod_UQGa1rXZXAWHSJ,price_1TRQ3dHb9mVEJOcYyvaKFPy6,1499.0,usd,https://pay.codexlitigation.org/b/dRmbJ12Wj8QdcFq3NCfbA2u
Codex Labs OS — Harmonic Convergence Scroll (v1),prod_UQGRb4RppkJ8B0,price_1TRPuFHb9mVEJOcYD2KGq3lX,1499.0,usd,https://pay.codexlitigation.org/b/28E8wPbsP4zX20Mac0fbA2v
Codex Labs OS — Synchronization Lattice Scroll (v1),prod_UQGAEUT0kdoXU3,price_1TRPdpHb9mVEJOcYkpMWGA1H,1499.0,usd,https://pay.codexlitigation.org/b/8x214neF1c2pcFq5VKfbA2w
Codex Labs OS — Convergence Matrix Scroll (v1),prod_UQFyic6tddKySp,price_1TRPSaHb9mVEJOcY0huwqcmv,1499.0,usd,https://pay.codexlitigation.org/b/dRm14nbsP4zXfRC5VKfbA2x
Codex Labs OS — Resonance Alignment Scroll (v1),prod_UQFdQo1elchNTX,price_1TRP8IHb9mVEJOcYsLKzvtSi,1499.0,usd,https://pay.codexlitigation.org/b/7sY3cvfJ54zX8pagAofbA2y
Codex Labs OS — Dynamic Equilibrium Scroll (v1),prod_UQFUa0abGt3FyH,price_1TROzbHb9mVEJOcY7Jp9hjRg,1499.0,usd,https://pay.codexlitigation.org/b/8x28wPeF10jH7l6gAofbA2z
Codex Labs OS — Adaptive Evolution Scroll (v1),prod_UQFK9qnKT3y27t,price_1TROpsHb9mVEJOcYFDtaRR1w,1499.0,usd,https://pay.codexlitigation.org/b/9B6bJ1cwTaYlbBm6ZOfbA2A
Codex Labs OS — Continuity Stabilization Scroll (v1),prod_UQFBMdzwdDBp5R,price_1TROhbHb9mVEJOcY6vhVbGl6,1499.0,usd,https://pay.codexlitigation.org/b/bJebJ10Ob7M98pa4RGfbA2B
Codex Labs OS — Systems Integrity Reinforcement Scroll (v1),prod_UQF2dHTgXxzC1D,price_1TROYnHb9mVEJOcYrQYH8jhp,1499.0,usd,https://pay.codexlitigation.org/b/3cIbJ1dAX2rPcFqgAofbA2C
Codex Labs OS — Expansion Engine Scroll (v1),prod_UQEv0qmbTseoIu,price_1TRORdHb9mVEJOcYJPriAhri,1499.0,usd,https://pay.codexlitigation.org/b/5kQ5kD7czaYl7l61FufbA2D
Codex Labs OS — Operational Cohesion Scroll (v1),prod_UQEa7PiYdSROWt,price_1TROKOHb9mVEJOcYbfN4YzJk,1499.0,usd,https://pay.codexlitigation.org/b/eVqcN5eF1feBeNybg4fbA2E
Codex Labs OS — Systems Harmony Scroll (v1),prod_UQEPHmEXd9zzhk,price_1TRNwMHb9mVEJOcYqVL2Mv9l,1499.0,usd,https://pay.codexlitigation.org/b/8x2aEX8gD5E1cFq3NCfbA2F
Codex Labs OS — Temporal Flow Alignment Scroll (v1),prod_UQEA2acA3cbrPo,price_1TRNi7Hb9mVEJOcYLXXLD0hK,1499.0,usd,https://pay.codexlitigation.org/b/8x23cvgN95E1fRC6ZOfbA2G
Codex Labs OS — Structural Integrity Scroll (v1),prod_UQE0xzHglZOYFO,price_1TRNYiHb9mVEJOcYwEoYHCjE,1499.0,usd,https://pay.codexlitigation.org/b/fZu00jbsP7M98pa3NCfbA2H
Codex Labs OS — Operator Onboarding Scroll (v1),prod_UQDc13sNF9kLII,price_1TRNArHb9mVEJOcYJXFPzh9V,1499.0,usd,https://pay.codexlitigation.org/b/bJeeVd68v9Uh8pabg4fbA2I
Codex Labs OS — Resonant Flow Scroll (v1),prod_UQD3sREecXszwz,price_1TRMdjHb9mVEJOcYwyd6jywc,1749.0,usd,https://pay.codexlitigation.org/b/6oUfZheF1d6t20M3NCfbA2J
Codex Labs OS — Harmonic Systems Scroll (v1),prod_UQCxoIbyowbuKI,price_1TRMXDHb9mVEJOcYwLVjUyTe,1899.0,usd,https://pay.codexlitigation.org/b/3cI14n68v7M9cFq6ZOfbA2K
Codex Labs OS — Temporal Alignment Scroll (v1),prod_UQCq1zCd7obrYp,price_1TRMQbHb9mVEJOcY4folyE9h,1799.0,usd,https://pay.codexlitigation.org/b/bJe14ncwTeaxeNy97WfbA2L
Codex Labs OS — Structural Synchronization Scroll (v1),prod_UPvF5qpUqBbLfx,price_1TR5PHHb9mVEJOcYktT768vb,1749.0,usd,https://pay.codexlitigation.org/b/28EfZh54r6I520Mac0fbA2M
Codex Labs OS — Systems Integrity Scroll (v1),prod_UPv6m3csELJXlI,price_1TR5GZHb9mVEJOcYJsL2ScLH,1899.0,usd,https://pay.codexlitigation.org/b/eVq00j8gDfeBgVGgAofbA2N
Codex Labs OS — Execution Stabilization Scroll (v1),prod_UPutT1d0ly7X6L,price_1TR544Hb9mVEJOcYmGmETQog,1699.0,usd,https://pay.codexlitigation.org/b/6oU8wP7cz0jHeNy4RGfbA2O
Codex Labs OS — Operational Cohesion Scroll (v1),prod_UPui7l7gEDXGfC,price_1TR4tKHb9mVEJOcYHx2Z8duk,1599.0,usd,https://pay.codexlitigation.org/b/28EeVd1Sf2rP34Q4RGfbA2P
Codex Labs OS — High‑Clarity Decision Protocol (v1),prod_UPuahrem1pbaSv,price_1TR4kuHb9mVEJOcYwMdEZnIV,1499.0,usd,https://pay.codexlitigation.org/b/aFaaEXcwT0jHdJu4RGfbA2Q
Codex Labs OS — Strategic Command Layer (v1),prod_UPuR1mFb3q7yAx,price_1TR4chHb9mVEJOcYo5ACBFFu,2799.0,usd,https://pay.codexlitigation.org/b/7sY6oH7cz8QdgVGfwkfbA2R
Codex Labs OS — Enterprise Ritual Loop (v1),prod_UPuDvGC0hOZZCY,price_1TR4PVHb9mVEJOcYaTh8bqk0,2299.0,usd,https://pay.codexlitigation.org/b/9B64gz1Sfc2pcFq2JyfbA2S
Codex Labs OS — Creator Sovereignty License (v1),prod_UPtwq2vdV9rvQj,price_1TR48aHb9mVEJOcYZGc1xz3g,1699.0,usd,https://pay.codexlitigation.org/b/aFa9ATfJ51nL0WIgAofbA2T
Codex Labs OS — Multi‑Realm Deployment Token (v1),prod_UPt4qq6lImXlcp,price_1TR3IkHb9mVEJOcYePA41AsE,2499.0,usd,https://pay.codexlitigation.org/b/eVqdR98gDfeBdJuesgfbA2U
Codex Labs OS — Sovereign Continuity Seal (v1),prod_UPsxaRIH6neDcm,price_1TR3BAHb9mVEJOcYGZZpmQJ1,1299.0,usd,https://pay.codexlitigation.org/b/4gM4gzdAX5E15cY0BqfbA2V
Codex Labs OS — High‑Fidelity Protocol Pack (v1),prod_UPspVqzVS0PIZJ,price_1TR345Hb9mVEJOcY4sDN8RV8,1799.0,usd,https://pay.codexlitigation.org/b/9B6cN50Ob2rP0WIgAofbA2W
Codex Labs OS — Operational Invocation Pack (v1),prod_UPsczoMZaclY8m,price_1TR2rLHb9mVEJOcYzP12ED7Z,1199.0,usd,https://pay.codexlitigation.org/b/bJebJ1eF19UhdJu0BqfbA2X
Codex Labs OS — Strategic Alignment Scroll (v1),prod_UPsQS81k2yxfre,price_1TR2ffHb9mVEJOcYYRzEiTTj,1499.0,usd,https://pay.codexlitigation.org/b/aFaeVdeF1c2p48UgAofbA2Y
Codex Labs OS — Enterprise Support & SLA Pack (v1),prod_UPs1s6T6p5z6gX,price_1TR2H5Hb9mVEJOcYZxsKLV9x,4999.0,usd,https://pay.codexlitigation.org/b/aFa7sL68v9Uh20MfwkfbA2Z
Codex Labs OS — Partner Accelerator Pack (v1),prod_UPrkRUXvRRt7wp,price_1TR20tHb9mVEJOcYcRj80kj1,7499.0,usd,https://pay.codexlitigation.org/b/aFa7sL1Sf0jH9tegAofbA30
Codex Labs OS — Partner Program License (v1),prod_UPaXQxdMZMUGoz,price_1TQlMNHb9mVEJOcYFLqCPrLR,24999.0,usd,https://pay.codexlitigation.org/b/28E5kDbsP0jH7l61FufbA31
Codex Labs OS — Enterprise Deployment License (v1),prod_UPaMli1X7sLRBr,price_1TQlBaHb9mVEJOcYjmU8SxSU,14999.0,usd,https://pay.codexlitigation.org/b/8x2dR90Ob5E17l6esgfbA32
Codex Labs OS — Multi‑Instance Deployment Pack (v1),prod_UPaA1wLiai0SlL,price_1TQl06Hb9mVEJOcYdrZJtywd,3499.0,usd,https://pay.codexlitigation.org/b/dRm9AT8gDfeBeNy6ZOfbA33
Codex Labs OS — Deployment License (v1),prod_UPZxQjX3B1uqxC,price_1TQknlHb9mVEJOcYTx60yFXF,999.0,usd,https://pay.codexlitigation.org/b/cNi7sLfJ56I5axi4RGfbA34
Codex Labs OS — Certification Token (v1),prod_UPZmLGkc6D48wS,price_1TQkcrHb9mVEJOcYaCos8beY,149.0,usd,https://pay.codexlitigation.org/b/3cI5kDcwT6I5bBmfwkfbA35
Codex OS — Completion Seal,prod_UPZYrNkli6bfEJ,price_1TQkPrHb9mVEJOcYlIUDs0ZX,699.0,usd,https://pay.codexlitigation.org/b/fZuaEX0Ob5E16h2gAofbA36
Codex OS — Master Conductor,prod_UPZOfU3qKOUMJG,price_1TQkFNHb9mVEJOcYx3RAR1Sy,599.0,usd,https://pay.codexlitigation.org/b/7sY28raoL0jHgVG0BqfbA37
Codex OS — Master Fabric,prod_UPZAT0ZxGdwidz,price_1TQk2UHb9mVEJOcY3NSS4CRn,549.0,usd,https://pay.codexlitigation.org/b/14AaEX1Sfd6t6h20BqfbA38
Codex OS — Master Kernel,prod_UPZ1a3iqKQa9TR,price_1TQjtGHb9mVEJOcYoNIDGWOx,499.0,usd,https://pay.codexlitigation.org/b/3cI3cv54rd6tcFqfwkfbA39
Codex Labs OS — System Module: OS Harmonizer,prod_UPYppRqfEyUtG2,price_1TQjiEHb9mVEJOcYOLknBc4O,399.0,usd,https://pay.codexlitigation.org/b/6oU28r68v6I534QesgfbA3a
Codex Labs OS — System Module: Integration Bridge,prod_UPYhGhtD0Pzgiu,price_1TQjZeHb9mVEJOcYWhappOAg,379.0,usd,https://pay.codexlitigation.org/b/28EbJ1fJ5d6t0WIesgfbA3b
Codex Labs OS — System Module: Render Pipeline,prod_UPYTJclVvIZowq,price_1TQjMlHb9mVEJOcY3ORFeCAg,349.0,usd,https://pay.codexlitigation.org/b/00w28r54raYl6h297WfbA3c
Codex Labs OS — System Module: Sync Orchestrator,prod_UPYC96olcmsHBK,price_1TQj5pHb9mVEJOcY48tcB4IJ,329.0,usd,https://pay.codexlitigation.org/b/fZu28r0Ob7M9eNyac0fbA3d
Codex Labs OS — System Module: Permissions Grid,prod_UPY8msHLAqPCZP,price_1TQj2FHb9mVEJOcYwm0wbvHr,299.0,usd,https://pay.codexlitigation.org/b/dRm28r40n7M934Q83SfbA3e
Codex Labs OS — System Module: Identity Kernel,prod_UPXyq1NcVCHEhg,price_1TQisqHb9mVEJOcYJa8cuxsP,279.0,usd,https://pay.codexlitigation.org/b/eVq9AT2WjaYl20Mck8fbA3f
Codex Labs OS — System Module: Event Relay,prod_UPXl0Exq71MW1p,price_1TQifkHb9mVEJOcYcJt8AmgU,259.0,usd,https://pay.codexlitigation.org/b/14A14n7czgiF9tedocfbA3g
Codex Labs OS — System Module: Command Layer,prod_UPXJTZCWPFvmmH,price_1TQiF9Hb9mVEJOcYyQvtg9D9,249.0,usd,https://pay.codexlitigation.org/b/8x2eVdaoLd6t5cYbg4fbA3h
Codex Labs OS — System Module: Data Spine,prod_UPX8tvREHqcEg3,price_1TQi4EHb9mVEJOcYQewbitG0,229.0,usd,https://pay.codexlitigation.org/b/5kQbJ1eF1feB34Qac0fbA3i
Codex Labs OS — System Module: State Engine,prod_UPWxeBj67IeyKe,price_1TQhtlHb9mVEJOcY5osouDM6,199.0,usd,https://pay.codexlitigation.org/b/3cIeVd9kHfeBdJu4RGfbA3j
Codex Labs OS — System Module: Navigation Matrix,prod_UPWkZtQpkzvqqR,price_1TQhgzHb9mVEJOcYgXLKO1UN,179.0,usd,https://pay.codexlitigation.org/b/bJe7sLeF16I520M3NCfbA3k
Codex Labs OS — System Module: Core Shell (Base Layer),prod_UPWQtAaNTNDgRI,price_1TQhNNHb9mVEJOcY4qEREOXy,149.0,usd,https://pay.codexlitigation.org/b/dRm9ATfJ5feB9te83SfbA3l
Codex Labs OS — Access Pass (Lifetime Ultra),prod_UPVyeTZsPtQaf2,price_1TQgwQHb9mVEJOcYwtaVegej,1799.0,usd,https://pay.codexlitigation.org/b/5kQ8wP2Wj6I59te5VKfbA3m
Codex Labs OS — Access Pass (Lifetime Max),prod_UPVbAQZfZp6XEb,price_1TQgaJHb9mVEJOcYOAoPzC0R,1199.0,usd,https://pay.codexlitigation.org/b/fZu28rdAXeaxaxi3NCfbA3n
Codex Labs OS — Access Pass (Lifetime Plus),prod_UPVOvDu413BU18,price_1TQgNbHb9mVEJOcYUNjJY0eK,899.0,usd,https://pay.codexlitigation.org/b/8x2dR92WjfeB8pa3NCfbA3o
Codex Labs OS — Access Pass (Lifetime Lite),prod_UPVCstNy3mXZ9r,price_1TQgCMHb9mVEJOcYO01Mrs9u,499.0,usd,https://pay.codexlitigation.org/b/8x25kDcwT9Uh9te2JyfbA3p
